0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:13:52 +0900] "GET /Dom_Project/chap09/media/beach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:20:54 +0900] "GET /Dom_Project/chap09/ex09-12.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:20:54 +0900] "GET /Dom_Project/chap09/media/beach2.png HTTP/1.1" 200 36593
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:26:50 +0900] "GET /Dom_Project/chap09/ex09-13.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:03 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:03 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:03 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:05 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:05 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:05 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:18 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:18 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 200 14599
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:21 +0900] "GET /Dom_Project/chap09/media/banana.png HTTP/1.1" 200 12635
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:23 +0900] "GET /Dom_Project/chap09/media/mango.png HTTP/1.1" 200 24705
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:03 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:03 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:12 +0900] "GET /Dom_Project/chap09/media/mango.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:13 +0900] "GET /Dom_Project/chap09/media/banana.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:46:26 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:47:35 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:47:36 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:47:37 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:47:49 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:48:17 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:55:51 +0900] "GET /Dom_Project/chap09/ex09-20.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:15:04 +0900] "GET /Dom_Project/chap10/ex10-01.html HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:22:18 +0900] "GET /Dom_Project/chap10/ex10-03.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:22:18 +0900] "GET /Dom_Project/chap10/media/naver.gif HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:22:53 +0900] "GET /Dom_Project/chap10/ex10-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:22:53 +0900] "GET /Dom_Project/chap10/media/naver.gif HTTP/1.1" 200 4368
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:25:55 +0900] "GET /Dom_Project/chap10/ex10-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:25:55 +0900] "GET /Dom_Project/chap10/media/naver.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:28:43 +0900] "GET /Dom_Project/chap10/ex10-06.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:35:21 +0900] "GET /Dom_Project/chap10/ex10-07.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:49:19 +0900] "GET /Dom_Project/chap10/ex10-10.html HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [05/Jul/2021:14:51:34 +0900] "GET /Dom_Project/chap10/ex10-10.html HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:14:32 +0900] "GET /Dom_Project/chap10/ex10-11.html HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:16:51 +0900] "GET /Dom_Project/chap10/ex10-12.html HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:37:01 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:39:30 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:42:37 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:42:51 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:42:53 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:01 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:02 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:03 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:03 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:03 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:03 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:03 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:04 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:04 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:04 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:04 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:07 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:08 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:08 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:08 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:08 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:09 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:09 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:09 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:09 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:09 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:12 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:15:43:12 +0900] "GET /Dom_Project/chap10/TEST.html HTTP/1.1" 304 -
